p,epsilon,nb
51.29514418,397.3002754,0.391
51.4814237,398.40927,0.392
51.66750589,399.5182646,0.393
51.85339075,400.6292325,0.394
52.03947294,401.7382271,0.395
52.2253578,402.849195,0.396
52.41124266,403.9601629,0.397
52.59732485,405.0731041,0.398
52.78340704,406.184072,0.399
52.96948923,407.2970132,0.4
53.15557142,408.4099544,0.401
53.34185094,409.5228956,0.402
53.52832779,410.6378101,0.403
53.71480464,411.7507513,0.404
53.90147882,412.8656658,0.405
54.08835033,413.9805803,0.406
54.27522184,415.0954948,0.407
54.46248801,416.2123826,0.408
54.64975418,417.3292704,0.409
54.83721768,418.4441849,0.41
55.02507584,419.5610727,0.411
55.212934,420.6799338,0.412
55.40098949,421.7968216,0.413
55.58943964,422.9156827,0.414
55.77808712,424.0345438,0.415
55.96693193,425.1534049,0.416
56.15597407,426.272266,0.417
56.34521354,427.3931004,0.418
56.53484767,428.5139348,0.419
56.72467913,429.6347692,0.42
56.91470792,430.7556036,0.421
57.10513137,431.876438,0.422
57.29575215,432.9992457,0.423
57.48657026,434.1220534,0.424
57.67778303,435.2448611,0.425
57.86919313,436.3676688,0.426
58.06099789,437.4904765,0.427
58.25299998,438.6152575,0.428
58.44539673,439.7400385,0.429
58.63799081,440.8648195,0.43
58.83097955,441.9896005,0.431
59.02416562,443.1143815,0.432
59.21774635,444.2411358,0.433
59.41172174,445.3678901,0.434
59.60589446,446.4946444,0.435
59.80046184,447.6213987,0.436
59.99522655,448.7501263,0.437
60.19038592,449.8788539,0.438
60.38593995,451.0075815,0.439
60.58169131,452.1363091,0.44
60.77783733,453.2650367,0.441
60.97437801,454.3957376,0.442
61.17131335,455.5244652,0.443
61.36844602,456.6551661,0.444
61.56597335,457.7878403,0.445
61.76389534,458.9185412,0.446
61.96201466,460.0512154,0.447
62.16052864,461.1819163,0.448
62.35943728,462.3145905,0.449
62.55874058,463.449238,0.45
62.75843854,464.5819122,0.451
62.95833383,465.7165597,0.452
63.15882111,466.8512072,0.453
63.35950572,467.9858547,0.454
63.56058499,469.1205022,0.455
63.76205892,470.257123,0.456
63.96373018,471.3917705,0.457
64.16599343,472.5283913,0.458
64.36845401,473.6650121,0.459
64.57150658,474.8036062,0.46
64.77475648,475.940227,0.461
64.97840104,477.0788211,0.462
65.18244026,478.2174152,0.463
65.38687414,479.3560093,0.464
65.59170268,480.4965767,0.465
65.79692588,481.6351708,0.466
66.00254374,482.7757382,0.467
66.20855626,483.9163056,0.468
66.41476611,485.056873,0.469
66.62156795,486.1994137,0.47
66.82876445,487.3399811,0.471
67.03615828,488.4825218,0.472
67.2441441,489.6250625,0.473
67.45252458,490.7695765,0.474
67.66110239,491.9121172,0.475
67.87027219,493.0566312,0.476
68.07983665,494.2011452,0.477
68.28959844,495.3456592,0.478
68.49995222,496.4901732,0.479
68.71070066,497.6366605,0.48
68.92164643,498.7831478,0.481
69.13318419,499.9296351,0.482
69.34511661,501.0761224,0.483
69.55744369,502.2226097,0.484
69.77016543,503.3710703,0.485
69.98328183,504.5195309,0.486
70.19679289,505.6679915,0.487
70.41069861,506.8164521,0.488
70.62499899,507.9649127,0.489
70.83989136,509.1153466,0.49
71.05498106,510.2657805,0.491
71.27066275,511.4162144,0.492
71.48654177,512.5666483,0.493
71.70301278,513.7190555,0.494
71.91987845,514.8714627,0.495
72.13713878,516.0238699,0.496
72.35479377,517.1762771,0.497
72.57284342,518.3286843,0.498
72.79128773,519.4830648,0.499
73.01032403,520.6374453,0.5
73.22955766,521.7918258,0.501
73.44938328,522.9462063,0.502
73.66960356,524.1005868,0.503
73.8902185,525.2569406,0.504
74.1112281,526.4132944,0.505
74.33263236,527.5696482,0.506
74.55462861,528.726002,0.507
74.77682219,529.8843291,0.508
74.99960776,531.0426562,0.509
75.22278799,532.2009833,0.51
75.44636288,533.3593104,0.511
75.67052976,534.5176375,0.512
75.89489397,535.6779379,0.513
76.11985017,536.836265,0.514
76.34520103,537.9985387,0.515
76.57094655,539.1588391,0.516
76.79708673,540.3191395,0.517
77.0238189,541.4814132,0.518
77.25094573,542.6436869,0.519
77.47846722,543.8059606,0.52
77.70638337,544.9682343,0.521
77.93469418,546.1324813,0.522
78.16359698,547.294755,0.523
78.39289444,548.459002,0.524
78.62258656,549.6252223,0.525
78.85267334,550.7894693,0.526
79.08335211,551.9556896,0.527
79.31422821,553.1199366,0.528
79.5456963,554.2861569,0.529
79.77775638,555.4543505,0.53
80.01001379,556.6205708,0.531
80.24286319,557.7887644,0.532
80.47610725,558.956958,0.533
80.70974597,560.1251516,0.534
80.94397668,561.2933452,0.535
81.17860205,562.4635121,0.536
81.41362208,563.6317057,0.537
81.64903677,564.8018726,0.538
81.88504345,565.9740128,0.539
82.12144479,567.1441797,0.54
82.35824079,568.3163199,0.541
82.59543145,569.4864868,0.542
82.8332141,570.658627,0.543
83.07139141,571.8327405,0.544
83.30996338,573.0048807,0.545
83.54912734,574.1789942,0.546
83.78868596,575.3531077,0.547
84.02863924,576.5272212,0.548
84.26918451,577.7013347,0.549
84.50992711,578.8774215,0.55
84.75145903,580.0535083,0.551
84.99318828,581.2295951,0.552
85.23550952,582.4056819,0.553
85.47822542,583.5817687,0.554
85.72133598,584.7598288,0.555
85.96503853,585.9378889,0.556
86.20913574,587.115949,0.557
86.45362761,588.2940091,0.558
86.69871147,589.4740425,0.559
86.94418999,590.6540759,0.56
87.19006317,591.8341093,0.561
87.43652834,593.0141427,0.562
87.68338817,594.1941761,0.563
87.93083999,595.3761828,0.564
88.17848914,596.5581895,0.565
88.42673028,597.7401962,0.566
88.67556341,598.9222029,0.567
88.9247912,600.1061829,0.568
89.17441365,601.2881896,0.569
89.42443076,602.4721696,0.57
89.67503986,603.6561496,0.571
89.92604362,604.8421029,0.572
90.17763937,606.0260829,0.573
90.42962978,607.2120362,0.574
90.68201485,608.3979895,0.575
90.93499191,609.5839428,0.576
91.18836363,610.7718694,0.577
91.44213001,611.959796,0.578
91.69648838,613.1477226,0.579
91.95124141,614.3356492,0.58
92.2063891,615.5235758,0.581
92.46212878,616.7134757,0.582
92.71846045,617.9014023,0.583
92.97498945,619.0913022,0.584
93.23211044,620.2831754,0.585
93.48982342,621.4730753,0.586
93.74793106,622.6649485,0.587
94.00643336,623.8568217,0.588
94.26552765,625.0486949,0.589
94.5250166,626.2405681,0.59
94.78490021,627.4344146,0.591
95.04537581,628.6262878,0.592
95.30624607,629.8201343,0.593
95.56770832,631.0159541,0.594
95.82956523,632.2098006,0.595
96.09201413,633.4056204,0.596
96.35466036,634.6014402,0.597
96.61809591,635.79726,0.598
96.88172879,636.9930798,0.599
97.14615099,638.1908729,0.6
97.41077052,639.3866927,0.601
97.67598204,640.5844858,0.602
97.94178555,641.7822789,0.603
98.20778639,642.9820453,0.604
98.47457655,644.1818117,0.605
98.74156404,645.3796048,0.606
99.00934085,646.5813445,0.607
99.27731499,647.7811109,0.608
99.54588112,648.9808773,0.609
99.81503924,650.182617,0.61
100.084592,651.3843567,0.611
100.3545395,652.5860964,0.612
100.6250789,653.7898094,0.613
100.896013,654.9915491,0.614
